f,h,R_0,R_n,E_phi,E_psi,P,Q,N_0,N_n
[30 54],[64 92],18,92,[93 64],[41 40],[[20 54 46  2]; [ 6 34 72 76]],[[42 12 96 14]; [54 68 44 52]],[94 32 28 50],[100  46  76  44]
[100  79],[14  2],28,86,[29  9],[33 28],[[66 68 48 86]; [20 38 52  6]],[[74 20 22 60]; [56 40 42 28]],[ 0 72 72 34],[ 10  22 100   8]
[ 9 39],[44 70],102,26,[96  4],[ 33 100],[[ 50  58   2  86]; [ 56   0  30 104]],[[ 90 102  84  28]; [ 26   6  42  70]],[14 44 48 68],[28 62 58 70]
[23 21],[30 35],76,4,[104  94],[85 55],[[72 54 92  2]; [ 0 10 26 24]],[[46 24 76 48]; [94 76 38 96]],[86 64 88 22],[46 74 64 26]
[103  85],[ 6 98],90,24,[81 62],[13 95],[[18 46 62 76]; [36 94 44 92]],[[76 72 92 20]; [ 4 18 88 44]],[ 4 50 68 58],[44 80 54 22]
[75 84],[10 36],102,24,[72 21],[ 4 72],[[90 16 22 48]; [56 64 12 60]],[[ 68  18  26 104]; [ 42  14  76  28]],[92 82 50 68],[30 74 28 54]
[76  9],[51 12],16,92,[41 55],[30 23],[[94 92 98 20]; [82  0 46 24]],[[40 52 18 44]; [16 16 22 40]],[98 72 86 44],[ 8  6 88 52]
[10 42],[56 55],100,64,[86 98],[93 18],[[ 22 102  68  44]; [ 12   2  94  76]],[[102  34  58  50]; [ 34  36 102  96]],[20 48 68 14],[78 36 56 88]
[49  0],[42 81],28,30,[69 56],[35  9],[[ 24  52  90  70]; [ 56  56  62 104]],[[12 20 92 38]; [74 40 32 54]],[64 82 96 92],[42 38  8 10]
[17 25],[96 69],6,68,[94 79],[15 27],[[78 58 64 38]; [86 34 88  4]],[[58 92 50 50]; [28 26 10 10]],[62 56 10 16],[  4   4   2 104]
[78 12],[85 17],20,100,[76 13],[12 99],[[76  2 28 12]; [98 44 94 40]],[[ 58  74  82  76]; [ 80  96 102  78]],[66 54 14 18],[86 14 28 42]
[ 71 101],[96  3],48,44,[80 41],[43 93],[[64 82 14 60]; [54 44 94 16]],[[82  2 28 18]; [54  0 44 60]],[ 14 104  52  36],[100  70  60  86]
[34 79],[50 71],74,76,[103  26],[26 27],[[72 96 16 34]; [18  0 62 78]],[[72 36 14  0]; [76 70 34 34]],[ 34  46  54 102],[ 8 88 96 48]
[32 68],[25 51],94,38,[ 31 100],[99 13],[[ 16 102  84  34]; [102  90  46   6]],[[ 20  54   2 104]; [ 12  72  78   0]],[ 6 10 32 94],[58 34 68 54]
[68  0],[60  0],58,50,[51 40],[37  0],[[ 0 76 64 34]; [84  6 70 60]],[[82 72 16 88]; [18 28 44 68]],[ 30  68  76 102],[48  4 82 40]
[ 72 102],[63 52],74,30,[56 44],[25 45],[[84 26 10 58]; [48 86 14 98]],[[  2 100  74  80]; [ 82  20  66  24]],[60 56 84 18],[48 78 52  8]
[20 90],[63 42],38,102,[90 16],[78 52],[[54 70 46 34]; [86 74 46 50]],[[58 64  0 10]; [74 72 22 86]],[22 20 96  2],[ 56  32  76 102]
[ 2 94],[48 71],14,52,[76 36],[52 55],[[58 14 90 84]; [96 96 70 68]],[[ 18  64  54   8]; [100   6  78  44]],[102  32  84  36],[74 40 84 46]
[55 97],[62 48],40,96,[ 1 11],[20 14],[[98 74 18 56]; [ 4 42 44  8]],[[ 6 82 36 98]; [86 50 84 96]],[82 62 28 58],[48 50 48 78]
[21 79],[56  7],38,52,[13 98],[94  9],[[14 38 24 42]; [28  8 20 54]],[[ 70  12  78  20]; [ 96  50 100  10]],[ 2 90 14 48],[48 40 28 90]
[70 24],[60 18],20,70,[51 13],[56 81],[[18 30 94 56]; [92  0 30 68]],[[66 90 90 36]; [34 34 12 24]],[68  0 92 50],[72 54 60 96]
[75 93],[42 31],12,2,[ 8 36],[87 74],[[38 36 84 78]; [80 78 88 66]],[[ 4 60 54 54]; [56 88 70 64]],[42 76 82  4],[90 60 26 42]
[91 66],[42 12],52,96,[37 26],[68 31],[[102  34 100  98]; [102  42  80  90]],[[52  8 72 70]; [ 8 50 54 78]],[34 16 62 84],[80 16 46 22]
[57 21],[19 97],100,70,[66 60],[38 42],[[70 30 20 74]; [64 72 32 84]],[[52 20 50  8]; [40 58 88 28]],[ 82 102  54  92],[102  98  36  90]
[57 27],[81 99],6,28,[71 11],[ 6 83],[[70 42 88 98]; [ 2 54 34 66]],[[  8  98  78  36]; [100  44 104  88]],[92 26 34 92],[38 40 26 12]
[99 68],[ 30 101],22,10,[27 65],[17  5],[[90 90 38 80]; [52 84 74 56]],[[ 84  86  76  22]; [ 76  54 104  48]],[72 64 66 82],[ 10 104  96  14]
[77 13],[17 18],66,36,[90 82],[79 84],[[16 74 38 80]; [36 54 60 44]],[[88 40 42 76]; [12 64 22 72]],[16 28 70 30],[38 32 92 80]
[102  13],[90 45],44,44,[92 86],[79 72],[[40 46 38 30]; [64 24  4 68]],[[78 66 38 16]; [18 58 30 66]],[102  32  92  30],[60 76 72 90]
